Date,Open,High,Low,Close,,,,,,
29/10/2007,"6,700.60","6,792.10","6,700.60","6,792.10",,,,,,
26/10/2007,"6,624.30","6,703.30","6,624.30","6,700.60",,,,,,
25/10/2007,"6,634.40","6,674.10","6,610.70","6,624.30",,,,,,
24/10/2007,"6,660.90","6,733.40","6,634.40","6,634.40",,,,,,
23/10/2007,"6,577.30","6,676.10","6,572.70","6,660.90",,,,,,
22/10/2007,"6,706.30","6,706.30","6,542.90","6,577.30",,,,,,
19/10/2007,"6,767.70","6,767.70","6,684.60","6,706.30",,,,,,
18/10/2007,"6,680.10","6,767.70","6,680.10","6,767.70",,,,,,
17/10/2007,"6,692.00","6,724.30","6,648.40","6,680.10",,,,,,
16/10/2007,"6,739.00","6,739.00","6,651.00","6,692.00",,,,,,
15/10/2007,"6,748.90","6,800.20","6,713.40","6,739.00",,,,,,
12/10/2007,"6,771.90","6,771.90","6,717.70","6,748.90",,,,,,
11/10/2007,"6,738.30","6,782.50","6,710.90","6,771.90",,,,,,
10/10/2007,"6,677.80","6,743.20","6,677.80","6,738.30",,,,,,
9/10/2007,"6,654.30","6,685.90","6,620.80","6,677.80",,,,,,
8/10/2007,"6,605.40","6,684.40","6,605.40","6,654.30",,,,,,
5/10/2007,"6,566.90","6,616.80","6,566.90","6,605.40",,,,,,
4/10/2007,"6,659.90","6,659.90","6,551.70","6,566.90",,,,,,
3/10/2007,"6,659.90","6,680.30","6,636.10","6,660.00",,,,,,
2/10/2007,"6,563.70","6,666.80","6,563.70","6,659.90",,,,,,
1/10/2007,"6,567.80","6,605.00","6,554.60","6,563.70",,,,,,
28/09/2007,"6,562.00","6,594.40","6,538.10","6,567.80",,,,,,
27/09/2007,"6,481.40","6,538.10","6,538.10","6,538.10",,,,,,
26/09/2007,"6,483.00","6,481.40","6,481.40","6,481.40",,,,,,
25/09/2007,"6,451.50","6,509.60","6,429.60","6,483.00",,,,,,
24/09/2007,"6,357.90","6,457.80","6,357.90","6,451.50",,,,,,
21/09/2007,"6,393.70","6,393.70","6,353.90","6,357.90",,,,,,
20/09/2007,"6,356.10","6,416.40","6,356.10","6,393.70",,,,,,
19/09/2007,"6,192.50","6,356.10","6,192.50","6,356.10",,,,,,
18/09/2007,"6,271.40","6,271.40","6,166.20","6,192.50",,,,,,
17/09/2007,"6,306.80","6,306.80","6,256.30","6,271.40",,,,,,
14/09/2007,"6,230.60","6,310.80","6,230.60","6,306.80",,,,,,
13/09/2007,"6,220.30","6,251.00","6,212.40","6,230.60",,,,,,
12/09/2007,"6,290.70","6,303.20","6,217.30","6,220.30",,,,,,
11/09/2007,"6,191.20","6,257.00","6,191.20","6,235.50",,,,,,
10/09/2007,"6,278.40","6,278.40","6,146.50","6,191.20",,,,,,
7/09/2007,"6,266.50","6,282.10","6,251.00","6,278.40",,,,,,
6/09/2007,"6,262.70","6,266.10","6,189.70","6,251.00",,,,,,
5/09/2007,"6,293.30","6,355.70","6,252.00","6,262.70",,,,,,
4/09/2007,"6,267.30","6,317.80","6,261.10","6,293.30",,,,,,
3/09/2007,"6,247.20","6,282.60","6,234.50","6,267.30",,,,,,
31/08/2007,"6,135.00","6,247.20","6,133.60","6,247.20",,,,,,
30/08/2007,"6,100.30","6,190.70","6,100.30","6,135.00",,,,,,
29/08/2007,"6,176.30","6,176.30","6,031.60","6,100.30",,,,,,
28/08/2007,"6,185.20","6,186.20","6,136.70","6,176.30",,,,,,
27/08/2007,"6,088.50","6,203.40","6,088.50","6,185.20",,,,,,
24/08/2007,"6,159.70","6,159.70","6,079.40","6,088.50",,,,,,
23/08/2007,"6,005.00","6,177.70","6,005.00","6,159.70",,,,,,
22/08/2007,"5,989.40","6,048.20","5,964.90","6,005.00",,,,,,
21/08/2007,"5,932.60","5,998.60","5,873.60","5,989.40",,,,,,
20/08/2007,"5,671.00","5,932.60","5,671.00","5,932.60",,,,,,
17/08/2007,"5,711.50","5,788.20","5,637.40","5,671.00",,,,,,
16/08/2007,"5,788.00","5,788.00","5,483.30","5,711.50",,,,,,
15/08/2007,"5,964.80","5,964.80","5,788.00","5,788.00",,,,,,
14/08/2007,"6,011.60","6,022.20","5,938.70","5,964.80",,,,,,
13/08/2007,"5,936.00","6,040.40","5,936.00","6,011.60",,,,,,
10/08/2007,"6,165.60","6,165.60","5,936.00","5,936.00",,,,,,
9/08/2007,"6,100.80","6,165.60","6,100.80","6,165.60",,,,,,
8/08/2007,"5,985.00","6,105.00","5,985.00","6,100.80",,,,,,
7/08/2007,"5,920.20","6,015.10","5,920.20","5,985.00",,,,,,
6/08/2007,"6,021.00","6,021.00","5,891.10","5,920.20",,,,,,
3/08/2007,"6,011.80","6,061.00","5,980.80","6,021.00",,,,,,
2/08/2007,"5,941.20","6,059.20","5,903.20","6,011.80",,,,,,
1/08/2007,"6,144.20","6,144.20","5,941.20","5,941.20",,,,,,
31/07/2007,"6,108.80","6,145.40","6,103.00","6,144.20",,,,,,
30/07/2007,"6,082.90","6,109.20","6,044.30","6,108.80",,,,,,
27/07/2007,"6,258.50","6,258.50","6,082.90","6,082.90",,,,,,
26/07/2007,"6,340.50","6,351.80","6,258.50","6,258.50",,,,,,
25/07/2007,"6,422.30","6,422.30","6,334.50","6,340.50",,,,,,
24/07/2007,"6,390.40","6,432.20","6,390.40","6,422.30",,,,,,
23/07/2007,"6,421.80","6,421.80","6,359.40","6,390.40",,,,,,
20/07/2007,"6,384.20","6,422.30","6,384.20","6,421.80",,,,,,
19/07/2007,"6,329.10","6,385.90","6,329.10","6,384.20",,,,,,
18/07/2007,"6,381.60","6,381.60","6,326.40","6,329.10",,,,,,
17/07/2007,"6,380.80","6,391.50","6,368.80","6,381.60",,,,,,
16/07/2007,"6,389.40","6,415.10","6,377.80","6,380.80",,,,,,
13/07/2007,"6,363.40","6,436.70","6,363.40","6,389.40",,,,,,
12/07/2007,"6,325.10","6,365.80","6,325.10","6,363.40",,,,,,
11/07/2007,"6,361.50","6,361.50","6,300.80","6,325.10",,,,,,
10/07/2007,"6,400.60","6,403.00","6,359.80","6,361.50",,,,,,
9/07/2007,"6,351.10","6,400.60","6,351.10","6,400.60",,,,,,
6/07/2007,"6,362.30","6,362.30","6,318.50","6,351.10",,,,,,
5/07/2007,"6,298.60","6,362.30","6,298.60","6,362.30",,,,,,
4/07/2007,"6,299.00","6,320.00","6,290.80","6,298.60",,,,,,
3/07/2007,"6,263.30","6,319.30","6,263.30","6,299.00",,,,,,
2/07/2007,"6,274.90","6,290.70","6,254.60","6,263.30",,,,,,
29/06/2007,"6,271.40","6,293.10","6,243.50","6,274.90",,,,,,
28/06/2007,"6,200.10","6,265.70","6,184.20","6,265.60",,,,,,
27/06/2007,"6,300.10","6,308.60","6,184.20","6,184.20",,,,,,
26/06/2007,"6,329.90","6,347.00","6,303.70","6,308.60",,,,,,
25/06/2007,"6,378.80","6,382.60","6,315.00","6,329.80",,,,,,
22/06/2007,"6,391.40","6,391.60","6,349.00","6,382.60",,,,,,
21/06/2007,"6,393.50","6,396.90","6,361.70","6,387.00",,,,,,
20/06/2007,"6,367.70","6,403.90","6,348.70","6,396.90",,,,,,
19/06/2007,"6,339.80","6,381.60","6,316.00","6,372.00",,,,,,
18/06/2007,"6,304.00","6,355.80","6,293.80","6,343.40",,,,,,
15/06/2007,"6,272.50","6,298.50","6,261.20","6,293.80",,,,,,
14/06/2007,"6,212.80","6,263.10","6,180.70","6,261.20",,,,,,
13/06/2007,"6,224.30","6,240.10","6,170.20","6,180.70",,,,,,
12/06/2007,"6,249.30","6,294.90","6,231.70","6,240.10",,,,,,
8/06/2007,"6,300.00","6,311.10","6,199.30","6,231.70",,,,,,
7/06/2007,"6,318.50","6,337.10","6,258.30","6,311.10",,,,,,
6/06/2007,"6,368.80","6,376.00","6,315.20","6,337.10",,,,,,
5/06/2007,"6,393.50","6,395.90","6,369.10","6,370.80",,,,,,
4/06/2007,"6,346.40","6,409.20","6,333.50","6,392.90",,,,,,
1/06/2007,"6,321.00","6,352.50","6,313.50","6,333.50",,,,,,
31/05/2007,"6,260.90","6,342.50","6,243.40","6,313.50",,,,,,
30/05/2007,"6,317.00","6,317.60","6,231.00","6,243.40",,,,,,
29/05/2007,"6,251.60","6,318.30","6,242.00","6,317.60",,,,,,
28/05/2007,"6,264.50","6,293.90","6,237.80","6,251.40",,,,,,
25/05/2007,"6,272.90","6,279.10","6,226.40","6,252.80",,,,,,
24/05/2007,"6,351.10","6,355.10","6,277.90","6,279.10",,,,,,
23/05/2007,"6,330.80","6,378.30","6,321.40","6,355.10",,,,,,
22/05/2007,"6,368.40","6,384.10","6,330.30","6,338.80",,,,,,
21/05/2007,"6,318.70","6,384.10","6,312.50","6,369.00",,,,,,
18/05/2007,"6,352.20","6,365.90","6,300.10","6,312.50",,,,,,
17/05/2007,"6,303.20","6,365.90","6,294.60","6,365.90",,,,,,
16/05/2007,"6,298.70","6,314.30","6,267.30","6,294.60",,,,,,
15/05/2007,"6,331.40","6,345.10","6,282.10","6,291.20",,,,,,
14/05/2007,"6,307.60","6,360.30","6,297.40","6,345.10",,,,,,
11/05/2007,"6,334.70","6,355.50","6,280.50","6,297.40",,,,,,
10/05/2007,"6,350.30","6,355.50","6,312.10","6,355.50",,,,,,
9/05/2007,"6,297.90","6,382.70","6,283.60","6,341.00",,,,,,
8/05/2007,"6,340.40","6,341.10","6,291.00","6,304.40",,,,,,
7/05/2007,"6,320.00","6,338.20","6,294.30","6,335.70",,,,,,
4/05/2007,"6,255.80","6,304.90","6,245.60","6,304.90",,,,,,
3/05/2007,"6,244.60","6,258.10","6,224.20","6,245.60",,,,,,
2/05/2007,"6,155.20","6,239.80","6,145.80","6,237.70",,,,,,
1/05/2007,"6,163.20","6,172.20","6,134.20","6,145.80",,,,,,
30/04/2007,"6,157.30","6,205.90","6,151.60","6,166.00",,,,,,
27/04/2007,"6,201.80","6,212.20","6,144.20","6,151.60",,,,,,
26/04/2007,"6,212.20","6,227.30","6,188.20","6,212.20",,,,,,
24/04/2007,"6,210.00","6,232.50","6,177.30","6,188.20",,,,,,
23/04/2007,"6,218.40","6,252.30","6,165.60","6,209.20",,,,,,
20/04/2007,"6,168.90","6,211.00","6,165.10","6,207.50",,,,,,
19/04/2007,"6,229.20","6,236.90","6,159.40","6,165.10",,,,,,
18/04/2007,"6,192.50","6,265.20","6,186.50","6,236.90",,,,,,
17/04/2007,"6,202.30","6,237.70","6,169.50","6,186.50",,,,,,
16/04/2007,"6,146.60","6,206.30","6,135.80","6,197.70",,,,,,
13/04/2007,"6,167.40","6,195.80","6,125.30","6,135.80",,,,,,
12/04/2007,"6,147.80","6,167.90","6,129.10","6,158.20",,,,,,
11/04/2007,"6,160.50","6,176.90","6,142.10","6,151.40",,,,,,
10/04/2007,"6,083.20","6,155.20","6,077.10","6,153.00",,,,,,
5/04/2007,"6,093.80","6,097.20","6,064.60","6,077.10",,,,,,
